timestep,mkt_C_el,mkt_C_fuel,mkt_C_el1
397,34.03,20,34.03
398,34.45,20,34.45
399,30.44,20,30.44
400,52.75,20,52.75
401,20.43,20,20.43
402,29.53,20,29.53
403,47.71,20,47.71
404,28.17,20,28.17
405,41.46,20,41.46
406,19.58,20,19.58
407,49.96,20,49.96
408,29.12,20,29.12
409,30.88,20,30.88
410,35.17,20,35.17
411,30.25,20,30.25
412,30.21,20,30.21
413,33.34,20,33.34
414,30.68,20,30.68
415,26.79,20,26.79
416,30.89,20,30.89
417,32.44,20,32.44
418,29.79,20,29.79
419,19.07,20,19.07
420,28.37,20,28.37
421,44.92,20,44.92
422,31.28,20,31.28
423,39.72,20,39.72
424,33.17,20,33.17
425,28.63,20,28.63
426,28.58,20,28.58
427,30.5,20,30.5
428,28.55,20,28.55
429,30.18,20,30.18
430,39.96,20,39.96
431,42.92,20,42.92
432,28.57,20,28.57
433,10.06,20,10.06
434,30.33,20,30.33
435,31.6,20,31.6
436,8.52,20,8.52
437,9.49,20,9.49
438,30.78,20,30.78
439,39.85,20,39.85
440,27.42,20,27.42
441,13.32,20,13.32
442,44.95,20,44.95
443,26.1,20,26.1
444,15.88,20,15.88
445,30.06,20,30.06
446,9.48,20,9.48
447,29.67,20,29.67
448,9.66,20,9.66
449,32.26,20,32.26
450,34.99,20,34.99
451,39.22,20,39.22
452,29.07,20,29.07
453,29.76,20,29.76
454,10.04,20,10.04
455,10.01,20,10.01
456,40.09,20,40.09
457,13.95,20,13.95
458,58.04,20,58.04
459,20.72,20,20.72
460,59.61,20,59.61
461,49.7,20,49.7
462,63.97,20,63.97
463,62.93,20,62.93
464,52.53,20,52.53
465,71.97,20,71.97
466,64.4,20,64.4
467,31.5,20,31.5
468,25.27,20,25.27
469,25.5,20,25.5
470,62.7,20,62.7
471,50.4,20,50.4
472,64.44,20,64.44
473,40.84,20,40.84
474,54.16,20,54.16
475,45.93,20,45.93
476,63.12,20,63.12
477,26.71,20,26.71
478,64.91,20,64.91
479,77.99,20,77.99
480,13.14,20,13.14
481,31.87,20,31.87
482,39.11,20,39.11
483,30.65,20,30.65
484,50.81,20,50.81
485,65.65,20,65.65
486,60.23,20,60.23
487,54.09,20,54.09
488,33.68,20,33.68
489,59.91,20,59.91
490,52.97,20,52.97
491,62.91,20,62.91
492,31.12,20,31.12
493,60.57,20,60.57
494,62.98,20,62.98
495,57.41,20,57.41
496,30.53,20,30.53
497,31.57,20,31.57
498,60.19,20,60.19
499,63.32,20,63.32
500,30.29,20,30.29
501,61.46,20,61.46
502,45.86,20,45.86
503,48.03,20,48.03
504,62.97,20,62.97
505,64.04,20,64.04
506,67.49,20,67.49
507,71.58,20,71.58
508,66.49,20,66.49
509,60.88,20,60.88
510,31.14,20,31.14
511,34.09,20,34.09
512,61.3,20,61.3
513,54.76,20,54.76
514,31.13,20,31.13
515,48.5,20,48.5
516,32.07,20,32.07
517,40.83,20,40.83
518,58.96,20,58.96
519,59.37,20,59.37
520,31.02,20,31.02
521,34.06,20,34.06
522,32.05,20,32.05
523,61.62,20,61.62
524,62.79,20,62.79
525,80.06,20,80.06
526,65.66,20,65.66
527,61.44,20,61.44
528,53.06,20,53.06
529,31.55,20,31.55
530,32.07,20,32.07
531,31.17,20,31.17
532,31.1,20,31.1
533,48.08,20,48.08
534,64.92,20,64.92
535,35.06,20,35.06
536,65.05,20,65.05
537,63.96,20,63.96
538,54.17,20,54.17
539,31.12,20,31.12
540,33.98,20,33.98
541,31.19,20,31.19
542,54.77,20,54.77
543,33.16,20,33.16
544,60.59,20,60.59
545,62.17,20,62.17
546,53.2,20,53.2
547,49.69,20,49.69
548,60.91,20,60.91
549,55.17,20,55.17
550,60.92,20,60.92
551,65.1,20,65.1
552,43.13,20,43.13
553,60.39,20,60.39
554,61.59,20,61.59
555,62.5,20,62.5
